"event","experiment time","system time","system time text"
"START",0.000000000E0,1679950322.424,"2023-03-27 17:52:02.424 UTC-03:00"
"PAUSE",1.807049223E1,1679950340.495,"2023-03-27 17:52:20.495 UTC-03:00"
