"event","experiment time","system time","system time text"
"START",0.000000000E0,1679949781.514,"2023-03-27 17:43:01.514 UTC-03:00"
"PAUSE",2.285601085E1,1679949804.370,"2023-03-27 17:43:24.370 UTC-03:00"
