"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.731088610E-1,-8.379705995E-2,5.267243832E-2,9.878476143E0,9.878971973E0
3.781144020E-1,-7.900865376E-2,5.027823523E-2,9.883264542E0,9.883708225E0
3.831218670E-1,-9.337386489E-2,5.267243832E-2,9.878476143E0,9.879057848E0
3.881243320E-1,-7.422025502E-2,5.985504389E-2,9.880870819E0,9.881330852E0
3.930978740E-1,-8.140286058E-2,3.830722719E-2,9.876082420E0,9.876492183E0
3.981045690E-1,-8.140286058E-2,5.506663769E-2,9.864110947E0,9.864600526E0
4.031128800E-1,-7.900865376E-2,5.506663769E-2,9.880870819E0,9.881340134E0
4.081144990E-1,-8.379705995E-2,5.027823523E-2,9.878476143E0,9.878959498E0
4.131191180E-1,-8.379705995E-2,5.027823523E-2,9.883264542E0,9.883747662E0
4.181221210E-1,-8.858546615E-2,4.548983276E-2,9.880870819E0,9.881372620E0
4.230997400E-1,-9.097966552E-2,4.788403213E-2,9.878476143E0,9.879011139E0
4.281021280E-1,-8.379705995E-2,5.267243832E-2,9.878476143E0,9.878971973E0
4.331083620E-1,-7.900865376E-2,5.267243832E-2,9.885659218E0,9.886115260E0
4.381120570E-1,-8.619125932E-2,5.985504389E-2,9.890447617E0,9.891004277E0
4.431172920E-1,-8.140286058E-2,5.746084079E-2,9.868899345E0,9.869402336E0
4.481227560E-1,-7.900865376E-2,5.985504389E-2,9.880870819E0,9.881367979E0
4.531273750E-1,-8.140286058E-2,5.027823523E-2,9.876082420E0,9.876545869E0
4.581016090E-1,-8.379705995E-2,5.267243832E-2,9.878476143E0,9.878971973E0
4.631076890E-1,-7.661445439E-2,5.267243832E-2,9.885659218E0,9.886096415E0
4.681120000E-1,-8.379705995E-2,4.548983276E-2,9.885659218E0,9.886119028E0
4.731163880E-1,-8.140286058E-2,5.746084079E-2,9.878476143E0,9.878978646E0
4.781213150E-1,-9.337386489E-2,5.506663769E-2,9.871294022E0,9.871889215E0
4.831274720E-1,-8.858546615E-2,4.788403213E-2,9.876082420E0,9.876595782E0
4.881012440E-1,-8.140286058E-2,4.309562966E-2,9.873687744E0,9.874117344E0
4.931046330E-1,-7.422025502E-2,5.267243832E-2,9.888052940E0,9.888471772E0
4.981099430E-1,-7.182604820E-2,4.788403213E-2,9.880870819E0,9.881247897E0
5.031157920E-1,-7.661445439E-2,5.506663769E-2,9.868899345E0,9.869350353E0
5.081197190E-1,-8.379705995E-2,5.746084079E-2,9.878476143E0,9.878998664E0
5.131264920E-1,-8.619125932E-2,4.788403213E-2,9.888052940E0,9.888544522E0
5.180994180E-1,-8.379705995E-2,5.267243832E-2,9.871294022E0,9.871790212E0
5.231071130E-1,-7.422025502E-2,5.027823523E-2,9.878476143E0,9.878882905E0
5.281084250E-1,-9.816227108E-2,5.267243832E-2,9.878476143E0,9.879104267E0
5.331141970E-1,-8.140286058E-2,4.548983276E-2,9.868899345E0,9.869339899E0
5.381182000E-1,-7.900865376E-2,5.506663769E-2,9.885659218E0,9.886128306E0
5.431249730E-1,-9.576806426E-2,5.027823523E-2,9.880870819E0,9.881462825E0
5.480982840E-1,-8.140286058E-2,5.746084079E-2,9.871294022E0,9.871796890E0
5.531016720E-1,-8.858546615E-2,4.309562966E-2,9.873687744E0,9.874179170E0
5.581065210E-1,-7.661445439E-2,3.830722719E-2,9.885659218E0,9.886030315E0
5.631139090E-1,-7.900865376E-2,5.027823523E-2,9.878476143E0,9.878920041E0
5.681167590E-1,-9.337386489E-2,5.267243832E-2,9.880870819E0,9.881452384E0
5.731213000E-1,-8.140286058E-2,4.548983276E-2,9.885659218E0,9.886099024E0
5.781271500E-1,-8.619125932E-2,5.027823523E-2,9.876082420E0,9.876586496E0
5.831032300E-1,-7.900865376E-2,5.267243832E-2,9.876082420E0,9.876538904E0
5.881059260E-1,-8.140286058E-2,5.027823523E-2,9.880870819E0,9.881334043E0
5.931111590E-1,-7.182604820E-2,4.548983276E-2,9.885659218E0,9.886024807E0
5.981149330E-1,-7.900865376E-2,5.985504389E-2,9.873687744E0,9.874185266E0
6.031225510E-1,-8.140286058E-2,3.830722719E-2,9.878476143E0,9.878885806E0
6.081260160E-1,-8.140286058E-2,4.309562966E-2,9.873687744E0,9.874117344E0
6.131004810E-1,-8.379705995E-2,5.267243832E-2,9.880870819E0,9.881366529E0
6.181044070E-1,-8.619125932E-2,4.309562966E-2,9.876082420E0,9.876552543E0
6.231127950E-1,-7.422025502E-2,5.267243832E-2,9.883264542E0,9.883683576E0
6.281148750E-1,-8.140286058E-2,5.267243832E-2,9.885659218E0,9.886134684E0
6.331210330E-1,-8.140286058E-2,4.070143029E-2,9.878476143E0,9.878895380E0
6.381244200E-1,-7.661445439E-2,5.027823523E-2,9.876082420E0,9.876507563E0
6.431001920E-1,-8.858546615E-2,5.506663769E-2,9.876082420E0,9.876633216E0
6.481041200E-1,-8.140286058E-2,5.506663769E-2,9.876082420E0,9.876571406E0
6.531081230E-1,-8.379705995E-2,5.985504389E-2,9.866505623E0,9.867043011E0
6.581137410E-1,-7.900865376E-2,4.788403213E-2,9.871294022E0,9.871726339E0
6.631207450E-1,-8.858546615E-2,5.027823523E-2,9.883264542E0,9.883789419E0
6.681226710E-1,-6.943184882E-2,5.746084079E-2,9.885659218E0,9.886070033E0
6.731284430E-1,-7.661445439E-2,5.267243832E-2,9.868899345E0,9.869337285E0
6.781029080E-1,-8.858546615E-2,4.548983276E-2,9.880870819E0,9.881372620E0
6.831088350E-1,-8.140286058E-2,5.985504389E-2,9.878476143E0,9.878992861E0
6.881134530E-1,-8.858546615E-2,5.267243832E-2,9.876082420E0,9.876620158E0
6.931168410E-1,-8.858546615E-2,4.788403213E-2,9.883264542E0,9.883777530E0
6.981216910E-1,-8.858546615E-2,5.267243832E-2,9.880870819E0,9.881408296E0
7.031300020E-1,-8.140286058E-2,4.788403213E-2,9.873687744E0,9.874139404E0
7.081017740E-1,-8.619125932E-2,5.267243832E-2,9.883264542E0,9.883780720E0
7.131070080E-1,-8.140286058E-2,5.746084079E-2,9.878476143E0,9.878978646E0
7.181110120E-1,-9.097966552E-2,3.830722719E-2,9.885659218E0,9.886152078E0
7.231183990E-1,-7.900865376E-2,5.506663769E-2,9.876082420E0,9.876551963E0
7.281217870E-1,-7.661445439E-2,5.746084079E-2,9.888052940E0,9.888516697E0
7.331275600E-1,-8.379705995E-2,5.027823523E-2,9.880870819E0,9.881354057E0
7.380996400E-1,-9.337386489E-2,5.267243832E-2,9.876082420E0,9.876664267E0
7.431087970E-1,-7.661445439E-2,5.746084079E-2,9.873687744E0,9.874152176E0
7.481121850E-1,-8.140286058E-2,5.027823523E-2,9.885659218E0,9.886122217E0
7.531147270E-1,-8.858546615E-2,5.985504389E-2,9.876082420E0,9.876661075E0
7.581193460E-1,-8.379705995E-2,4.309562966E-2,9.880870819E0,9.881320121E0
7.631276560E-1,-8.619125932E-2,4.788403213E-2,9.878476143E0,9.878968201E0
7.680995830E-1,-8.140286058E-2,5.267243832E-2,9.888052940E0,9.888528291E0
7.731035860E-1,-6.943184882E-2,5.027823523E-2,9.873687744E0,9.874059872E0
