"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.914737920E-1,-5.642187595E-2,-8.711794391E-3,-8.187875748E-1,8.207754967E-1
7.014842650E-1,-4.990646243E-2,8.424129337E-4,-8.834295273E-1,8.848384566E-1
7.114625050E-1,-5.521005020E-2,8.256835863E-3,-7.325944901E-1,7.347183214E-1
7.214745160E-1,-5.578260124E-2,1.560427528E-2,-6.966800690E-1,6.990839081E-1
7.314819110E-1,-2.994096279E-2,-1.075420529E-2,-7.804765701E-1,7.811246960E-1
7.414941530E-1,-2.312307432E-2,3.486506641E-3,-7.182264328E-1,7.186070143E-1
7.514702410E-1,-5.216806382E-2,3.704859316E-2,-6.392173767E-1,6.424118304E-1
7.614818660E-1,-2.393478528E-2,1.782617345E-2,-7.397727966E-1,7.403745248E-1
7.714908000E-1,-2.679749019E-2,1.520564128E-2,-7.732915878E-1,7.739051601E-1
7.814736570E-1,-3.438904881E-2,3.919942677E-2,-7.014646530E-1,7.034002141E-1
7.914806680E-1,-5.653879046E-2,2.922781743E-2,-6.799163818E-1,6.828888536E-1
8.014909090E-1,-4.272313416E-2,-2.212323248E-3,-7.637128830E-1,7.649101439E-1
8.114684590E-1,-1.688837446E-2,-4.576295614E-3,-7.182226181E-1,7.184357235E-1
8.214807000E-1,-4.603700340E-2,7.476309314E-3,-6.344242096E-1,6.361362893E-1
8.314890180E-1,-5.116340891E-2,-4.810648039E-3,-8.092012405E-1,8.108313539E-1
8.414678740E-1,-3.965723515E-2,-9.679866955E-3,-8.977851868E-1,8.987127671E-1
8.514770390E-1,-6.160799786E-2,2.470474690E-3,-7.206134796E-1,7.232464557E-1
8.614882040E-1,-5.706880242E-2,2.702169120E-3,-6.559686661E-1,6.584520034E-1
8.714663680E-1,-4.546157271E-2,-1.878936216E-2,-8.427162170E-1,8.441507076E-1
8.814786870E-1,-3.872756287E-2,-1.179244742E-2,-8.882045746E-1,8.891266795E-1
